indice_tiempo,fci_renta_fija,fci_renta_mixta,fci_mercado_dinero,fci_renta_variable,fci_fondos_pymes,fci_infraestructura,fci_retorno_total,fci_cerrados,fci_asg,fci_patrimonio_neto_total
2000-01-01,1234.0,309.0,5481.0,532.0,,,,,,7556.0
2001-01-01,500.0,159.0,2848.0,326.0,,,,,,3833.0
2002-01-01,602.0,190.0,2059.0,845.0,,,,,,3696.0
2003-01-01,433.40000000000003,192.39999999999998,3931.0,1133.1000000000001,,,,,,5689.900000000001
2004-01-01,745.0,296.4,4003.9,1996.2,,,,,,7041.5
2005-01-01,2187.5,420.6,3480.2,4897.7,,,,,,10986.0
2006-01-01,3809.2,507.0,5453.1,9064.9,,,,,,18834.199999999997
2007-01-01,2668.4,448.5,6627.0,11639.7,,,,,,21383.6
2008-01-01,1738.6,317.6,9237.1,2060.9,,,,,,13354.199999999999
2009-01-01,4498.5,583.2,9034.6,2888.6,,,,,,17004.899999999998
2010-01-01,7511.5,1698.7,9144.8,2241.0,,,,,,20596.0
2011-01-01,12110.8,3801.1,11685.8,1668.5,,,,,,29266.0
2012-01-01,20122.0,4357.0,17072.0,781.0,1176.0,1413.0,224.0,,,45145.0
2013-01-01,33752.0,6750.0,23430.0,2996.0,2485.0,2202.0,1270.0,,,72885.0
2014-01-01,66981.0,11081.0,35434.0,5388.0,7708.0,4194.0,1521.0,,,132307.0
2015-01-01,110812.0,18767.0,50847.0,6679.0,9815.0,11112.0,3586.0,,,211618.0
2016-01-01,201394.0,41528.0,44799.0,9857.0,13766.0,8475.0,2455.0,,,322274.0
2017-01-01,375306.83486450306,52057.07361821764,62043.509694758824,25403.332795607515,15386.51483806,6348.19886805,8262.32886235878,,,544807.7935415559
2018-01-01,330714.6264829188,56123.600500229,151840.341815788,24372.050408761002,22142.461232417998,6219.87479129,8232.227270409,,,599645.1825018136
2019-01-01,278301.812627,99863.244232,349296.336704,26791.097597,43576.45522,19225.022548,13770.827027,19157.840044,0.0,849982.635998
2020-01-01,643018.1482588021,165903.09122907714,896185.6373443336,34502.45960266864,79280.54436832001,47234.96527770722,32905.48742560378,39068.46580275151,0.0,1938098.7993092642
2021-01-01,1282065.2383896513,267077.2521930707,1695010.6549054417,50273.18109293287,123652.90096223,77342.19930610049,54983.66292206063,54800.51681925279,301.59812619999997,3605507.20471694
2022-01-01,2179096.05221413,449223.261206138,3621666.201727351,124756.27056032175,201143.35975698,148731.43931600935,91242.11996893816,145350.2070956644,1548.9039896900001,6962757.815835218
